word;wordTranslate;articleId;wordPlural;pluralSign;wordTranslatePlural
Hygiene;гигиена;3;null;null;null
Hygienevorschrift;гигиеническое правило;3;Hygienevorschriften;en;правила
Import;импорт;1;Importe;e;импорты
Industrie;промышленность;3;Industrien;n;промышленности
Innendienst;внутренний отдел;1;Innendienste;e;отделы
Instandhaltung;техобслуживание;3;Instandhaltungen;n;обслуживания
Interessenvertretung;представительство интересов;3;Interessenvertretungen;n;представительства
Investition;инвестиция;3;Investitionen;n;инвестиции
Job;работа;1;Jobs;s;работы
Jobcenter;центр занятости;2;Jobcenter;-;центры
Jobmesse;ярмарка вакансий;3;Jobmessen;n;ярмарки
Kantine;столовая;3;Kantinen;n;столовые
Karriere;карьера;3;Karrieren;n;карьеры
Kenntnis;знание;3;Kenntnisse;n;знания
Kernarbeitszeit;основное рабочее время;3;Kernarbeitszeiten;n;время
Kirchensteuer;церковный налог;3;Kirchensteuern;n;налоги
Klage;иск;3;Klagen;n;иски
Kompetenz;компетенция;3;Kompetenzen;n;компетенции
Konkurrenz;конкуренция;3;Konkurrenzen;n;конкуренции
Krankengeld;пособие по болезни;2;null;null;null
Krankenhaus;больница;2;Krankenhäuser;e;больницы
Krankenkasse;страховая касса;3;Krankenkassen;n;кассы
Krankenversicherung;медицинская страховка;3;Krankenversicherungen;en;медицинские страховки
Krankmeldung;больничный;3;Krankmeldungen;n;больничные
Kreativität;креативность;3;Kreativitäten;n;креативность
Kredit;кредит;1;Kredite;e;кредиты
Kredithöhe;сумма кредита;3;Kredithöhen;n;суммы кредита
Kritikfähigkeit;умение воспринимать критику;3;Kritikfähigkeiten;n;навыки
Kunde;клиент;1;Kunden;n;клиенты
Kundendienst;служба поддержки;1;null;null;null
Kundenservice;служба поддержки клиентов;1;null;null;null
Kündigung;увольнение;3;Kündigungen;en;увольнения
Kündigungsgrund;причина увольнения;1;Kündigungsgründe;e;причины увольнения
Kündigungsschutz;защита от увольнения;1;Kündigungsschutze;e;защиты от увольнения
Labor;лаборатория;2;Labore;-;лаборатории
Lager;склад;2;Lager;-;склады
Laufzeit;срок действия;3;Laufzeiten;n;сроки
Lautsprecher;динамик;1;Lautsprecher;-;динамики
Lebenslauf;резюме;1;Lebensläufe;e;резюме
Lehre;обучение (проф.);3;Lehren;n;обучения
Lehrling;ученик;1;Lehrlinge;e;ученики
Lieferant;поставщик;1;Lieferanten;n;поставщики
Lieferung;доставка;3;Lieferungen;n;доставки
Lohn;зарплата;1;Löhne;e;зарплаты
Lohnerhöhung;повышение зарплаты;3;Lohnerhöhungen;en;повышения зарплаты
Lohnsteuer;подоходный налог;3;Lohnsteuern;n;налоги
Luftfracht;авиаперевозка;3;Luftfrachten;n;перевозки
Mahnung;напоминание о платеже;3;Mahnungen;n;напоминания
Management;менеджмент;2;null;null;null
Mangel;дефект;1;Mängel;e;дефекты
Marketing;маркетинг;2;null;null;null
Markt;рынок;1;Märkte;e;рынки
Marktforschung;исследование рынка;3;Marktforschungen;n;исследования
Material;материал;2;Materialien;n;материалы
Maus;мышь;3;Mäuse;e;мыши
Mehrwertsteuer;НДС;3;null;null;null
Meister;мастер;1;Meister;-;мастера
Messe;выставка;3;Messen;n;выставки
Messestand;выставочный стенд;1;Messestände;e;стенды
Mitarbeiter;сотрудник;1;Mitarbeiter;-;сотрудники
Mitbestimmung;соучастие в управлении;3;Mitbestimmungen;n;формы участия
Monatslohn;месячная зарплата;1;Monatslöhne;e;зарплаты
Montage;сборка;3;Montagen;n;сборки
Nachhaltigkeit;устойчивость;3;Nachhaltigkeiten;n;устойчивости
Nachnahme;наложенный платёж;3;Nachnahmen;n;платежи
Nachricht;сообщение;3;Nachrichten;en;сообщения
Nettopreis;нетто-цена;1;Nettopreise;e;нетто-цены
Niederlassung;филиал;3;Niederlassungen;n;филиалы
Notausgang;аварийный выход;1;Notausgänge;e;выходы
Notfall;чрезвычайная ситуация;1;Notfälle;e;ситуации
Ohrenschutz;защита слуха;1;Ohrenschützer;-;средства защиты
Päckchen;пакет;2;Päckchen;-;пакеты
Paket;посылка;2;Pakete;e;посылки
Pension;пенсия (госслужащих);3;Pensionen;en;пенсии
Personalabteilung;отдел кадров;3;Personalabteilungen;n;отделы
Personalschef;начальник отдела кадров;1;Personalschefs;s;начальники
Pflegeversicherung;страхование по уходу;3;Pflegeversicherungen;en;страхования по уходу
Pflicht;обязанность;3;Pflichten;n;обязанности
Praktikum;практика;2;Praktika;a;практики
Präsentation;презентация;3;Präsentationen;n;презентации
Preis;цена;1;Preise;e;цены
Preisnachlass;скидка;1;Preisnachlässe;e;скидки
Probezeit;испытательный срок;3;Probezeiten;n;сроки
Probezeit;испытательный срок;3;Probezeiten;n;сроки
Produkt;продукт;2;Produkte;e;продукты
Produktion;производство;3;Produktionen;n;производства
Produktion;производство;3;Produktionen;n;производства
Protokoll;протокол;2;Protokolle;e;протоколы
Pünktlichkeit;пунктуальность;3;Pünktlichkeiten;n;пунктуальность
Qualifikation;квалификация;3;Qualifikationen;n;квалификации
Qualität;качество;3;Qualitäten;n;качества
Qualitätssicherung;контроль качества;3;Qualitätssicherungen;n;системы качества
Quittung;квитанция;3;Quittungen;n;квитанции
Rabatt;скидка;1;Rabatte;e;скидки
Rate;платёж;3;Raten;n;платежи
Ratenzahlung;рассрочка;3;Ratenzahlungen;n;рассрочки
Rechner;компьютер/вычислитель;1;Rechner;-;компьютеры
Rechnung;счёт;3;Rechnungen;n;счета
Rechnungswesen;бухгалтерский учёт;2;null;null;null
Rechtsabteilung;юридический отдел;3;Rechtsabteilungen;n;отделы
Rechtsform;правовая форма;3;Rechtsformen;n;формы
Regel;правило;3;Regeln;n;правила
Regeln befolgen;следовать правилам;null;null;null;null
Reklamation;рекламация;3;Reklamationen;n;рекламации
Rente;пенсия;3;Renten;n;пенсии
Renteneintritt;выход на пенсию;1;Renteneintritte;e;выходы на пенсию
Rentenversicherung;пенсионное страхование;3;Rentenversicherungen;en;пенсионные страхования
Rentner;пенсионер;1;Rentner;-;пенсионеры
Rentnerin;пенсионерка;3;Rentnerinnen;nen;пенсионерки
Retourenschein;накладная возврата;1;Retourenscheine;e;накладные
Ruhestand;отставка / пенсия;1;Ruhestände;e;периоды пенсии
Sachbearbeiter;специалист;1;Sachbearbeiter;-;специалисты
Scanner;сканер;1;Scanner;-;сканеры
Schaden;ущерб;1;Schäden;e;ущербы
Schadenersatz;возмещение ущерба;1;Schadenersätze;e;возмещения
Schichtarbeit;сменная работа;3;Schichtarbeiten;n;смены
Schutzausrüstung;защитное снаряжение;3;Schutzausrüstungen;n;снаряжение
Schutzbrille;защитные очки;3;Schutzbrillen;n;очки
Schutzhelm;защитный шлем;1;Schutzhelme;e;шлемы
Sicherheitsbeauftragter;ответственный за безопасность;1;Sicherheitsbeauftragte;n;ответственные за безопасность
Sicherheitshinweise;инструкции по безопасности;4;Sicherheitshinweise;-;инструкции
Sicherheitsschuhe;защитная обувь;4;Sicherheitsschuhe;-;обувь
Sicherheitsvorschrift;правило безопасности;3;Sicherheitsvorschriften;en;правила
Skonto;скидка за раннюю оплату;2;Skonti;-;скидки
Soloselbstständige;самозанятый;1;Soloselbstständige;n;самозанятые
Sonderangebot;спецпредложение;2;Sonderangebote;e;предложения
Sortiment;ассортимент;2;Sortimente;-;ассортименты
Sozialarbeit;социальная работа;3;Sozialarbeiten;n;работы
Sozialhilfe;социальная помощь;3;Sozialhilfen;n;виды соцпомощи
Sozialplan;социальный план;1;Sozialpläne;e;планы
Sozialversicherung;социальное страхование;3;Sozialversicherungen;en;социальные страховки/системы
Sozialversicherungsnummer;номер соцстрахования;3;Sozialversicherungsnummern;n;номера соцстрахования
Sperrzeit;период блокировки;3;Sperrzeiten;en;периоды блокировки
Standort;местоположение;1;Standorte;e;места
Stelle;вакансия;3;Stellen;n;вакансии
Stellenanzeige;объявление о работе;3;Stellenanzeigen;n;объявления
Stellenbörse;биржа вакансий;3;Stellenbörsen;n;биржи
Stellengesuch;заявка на работу;2;Stellengesuche;e;заявки
Stellensuche;поиск работы;3;Stellensuchen;n;поиски
Steuer;налог;3;Steuern;n;налоги
Steueridentifikationsnummer;налоговый идентификатор;3;Steueridentifikationsnummern;n;налоговые номера
Steuerklasse;налоговый класс;3;Steuerklassen;n;налоговые классы
Störung;неисправность;3;Störungen;n;неисправности
Störungsmeldung;сообщение о неисправности;3;Störungsmeldungen;n;сообщения
Streik;забастовка;1;Streiks;s;забастовки
Studium;учёба;2;Studien;n;обучение
Stundenlohn;почасовая оплата;1;Stundenlöhne;e;ставки
Tagesordnung;повестка дня;3;Tagesordnungen;n;повестки
Tagung;конференция;3;Tagungen;n;конференции
Tarifverhandlung;тарифные переговоры;3;Tarifverhandlungen;en;переговоры
Tarifvertrag;тарифный договор;1;Tarifverträge;e;договоры
Tastatur;клавиатура;3;Tastaturen;n;клавиатуры
Taste;клавиша;3;Tasten;n;клавиши
Team;команда;2;Teams;-;команды
Teambesprechung;командное совещание;3;Teambesprechungen;n;совещания
Teamfähigkeit;командная работа;3;Teamfähigkeiten;n;навыки
Teamleiter;руководитель команды;1;Teamleiter;-;руководители
Teamsitzung;заседание команды;3;Teamsitzungen;n;заседания
Teilzeit;частичная занятость;3;Teilzeiten;n;режимы
Termin;встреча/срок;1;Termine;e;встречи
Terminabsage;отмена встречи;3;Terminabsagen;n;отмены
Terminänderung;изменение срока;3;Terminänderungen;n;изменения
Terminverschiebung;перенос встречи;3;Terminverschiebungen;n;переносы
Terminzusage;подтверждение встречи;3;Terminzusagen;n;подтверждения
Tilgung;погашение;3;Tilgungen;n;погашения
Transport;транспорт;1;Transporte;e;перевозки
Überstunde;сверхурочная;3;Überstunden;n;часы
Umschulung;переобучение;3;Umschulungen;n;переобучения
Unfälle vermeiden;избегать несчастных случаев;null;null;null;null
Unfallmeldung;сообщение о несчастном случае;3;Unfallmeldungen;n;сообщения
Unfallprotokoll;протокол несчастного случая;2;Unfallprotokolle;e;протоколы
Unfallschutz;защита от несчастных случаев;1;Unfallschutze;e;системы защиты
Unternehmen;компания;2;Unternehmen;-;компании
Untersuchung;обследование;3;Untersuchungen;n;обследования
unverbindliches Angebot;необязательное предложение;null;null;null;null
Urlaubsgeld;отпускные;2;Urlaubsgelder;-;выплаты
Verbot;запрет;2;Verbote;e;запреты
Verbotsschild;знак запрета;2;Verbotsschilder;n;знаки запрета
Verbrennung;ожог;3;Verbrennungen;n;ожоги
Vergütung;вознаграждение;3;Vergütungen;n;вознаграждения
Verhalten;поведение;2;Verhalten;-;поведение
Verkauf;продажи;1;Verkäufe;e;продажи
Verletzung;травма;3;Verletzungen;n;травмы
Verlust;убыток;1;Verluste;e;убытки
Vernetzung;сетевая интеграция;3;Vernetzungen;n;сети/связи
Versand;доставка;1;Versände;e;отправки
Versand;отправка;1;Versände;e;отправки
Versandkosten;стоимость доставки;4;null;null;null
Versandkosten;стоимость доставки;4;null;null;null
Versetzung;перевод на другую должность;3;Versetzungen;n;переводы
Vertrieb;сбыт;1;Vertriebe;e;сбытовые отделы
Verwaltung;администрация;3;Verwaltungen;n;администрации
Vollzeit;полная занятость;3;Vollzeiten;n;режимы
Voraussetzung;условие;3;Voraussetzungen;n;условия
Vorgesetzter;руководитель;1;Vorgesetzte;n;руководители
Vorschrift;инструкция;3;Vorschriften;en;инструкции
Vorsichtsmaßnahme;мера предосторожности;3;Vorsichtsmaßnahmen;n;меры
Vorsorgeuntersuchung;профилактический осмотр;3;Vorsorgeuntersuchungen;n;осмотры
Vorstellungsgespräch;собеседование;2;Vorstellungsgespräche;e;собеседования
Wachstum;рост;2;Wachstümer;-;росты
Ware;товар;3;Waren;n;товары
Wareneingang;приём товара;1;Wareneingänge;e;поступления
Warenkontrolle;контроль товара;3;Warenkontrollen;n;контроли
Warensendung;отправка товара;3;Warensendungen;n;отправки
Wartung;обслуживание;3;Wartungen;n;обслуживания
Weihnachtsgeld;рождественская премия;2;Weihnachtsgelder;-;премии
Weiterbildung;повышение квалификации;3;Weiterbildungen;n;курсы повышения
Werk;завод;2;Werke;-;заводы
Werkstatt;мастерская;3;Werkstätten;n;мастерские
Wettbewerb;конкуренция;1;Wettbewerbe;e;соревнования
Willkommensmappe;папка новичка;3;Willkommensmappen;n;папки
Wirtschaft;экономика;3;Wirtschaften;n;экономики
Wirtschaftszweig;отрасль экономики;1;Wirtschaftszweige;e;отрасли
Zahlung;платёж;3;Zahlungen;n;платежи
Zahlungseingang;поступление платежа;1;Zahlungseingänge;e;поступления платежей
Zahlungserinnerung;напоминание об оплате;3;Zahlungserinnerungen;n;напоминания
Zeitarbeitsfirma;агентство временной работы;3;Zeitarbeitsfirmen;n;агентства
Zeiterfassung;учёт рабочего времени;3;Zeiterfassungen;n;системы
Zeugniskopie;копия сертификата;3;Zeugniskopien;n;копии
Zins;процент;1;Zinsen;-;проценты
Zuschuss;субсидия;1;Zuschüsse;e;субсидии
Zuverlässigkeit;надёжность;3;Zuverlässigkeiten;n;надёжности
Zuverlässigkeit;надёжность;3;Zuverlässigkeiten;n;надёжности
Zweigstelle;отделение;3;Zweigstellen;n;отделения
